Region,Market,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Germany,Food,Revenue by Segment,Bread & Cereal Products,billion USD (US$),Statista,27.06,23.38,23.9,25.03,27.67,26.93,28.18,31.11,24.11,31.86,33.11,34.29,35.57,35.78
Germany,Food,Revenue by Segment,Confectionery & Snacks,billion USD (US$),Statista,17.05,14.74,15.13,15.9,17.62,17.2,18.05,19.99,21.57,22.66,23.62,24.62,25.59,27
Germany,Food,Revenue by Segment,Convenience Food,billion USD (US$),Statista,7.978,6.936,7.137,7.524,8.372,8.2,8.635,9.593,10.31,10.79,11.21,11.65,12.07,12.47
Germany,Food,Revenue by Segment,Dairy Products & Eggs,billion USD (US$),Statista,31.13,26.91,27.53,28.87,31.92,31.13,32.69,36.16,38.77,40.48,41.97,43.52,45.23,46.84
Germany,Food,Revenue by Segment,Fish & Seafood,billion USD (US$),Statista,6.794,5.873,6.008,6.298,6.967,6.786,7.104,7.848,6.934,8.159,8.439,8.714,9.016,8.958
Germany,Food,Revenue by Segment,Fruits & Nuts,billion USD (US$),Statista,18.83,16.31,16.72,17.56,19.46,18.99,19.92,22.04,23.45,24.36,25.17,26.01,26.89,26.98
Germany,Food,Revenue by Segment,Meat,billion USD (US$),Statista,41.15,35.66,36.58,38.46,42.66,41.66,43.89,48.64,51.6,54.75,57.08,59.54,61.99,65.22
Germany,Food,Revenue by Segment,Oils & Fats,billion USD (US$),Statista,5.492,4.761,4.884,5.134,5.695,5.562,5.84,6.469,6.157,7.071,7.369,7.667,7.966,8.29
Germany,Food,Revenue by Segment,Pet Food,billion USD (US$),Statista,3.441,3.407,3.954,4.053,4.167,4.296,4.555,4.817,5.194,5.42,5.568,5.739,5.936,6.164
Germany,Food,Revenue by Segment,Sauces & Spices,billion USD (US$),Statista,5.249,4.517,4.601,4.801,5.287,5.126,5.342,5.874,6.275,6.525,6.725,6.929,7.189,7.38
Germany,Food,Revenue by Segment,Spreads & Sweeteners,billion USD (US$),Statista,2.349,2.028,2.021,2.084,2.268,2.173,2.228,2.409,2.389,2.59,2.634,2.675,2.786,2.904
Germany,Food,Revenue by Segment,Vegetables,billion USD (US$),Statista,23.07,19.97,20.47,21.49,23.82,23.23,24.37,26.96,28.89,30.14,31.21,32.32,33.49,34.44
Germany,Food,Revenue Change by Segment,Total,percent,Statista,,-13.249,2.667,4.9,10.58,-2.392,5.005,10.526,1.662,8.484,3.829,3.727,3.82,3.169
Germany,Food,Revenue Change by Segment,Baby Food,percent,Statista,,-13.519,2.373,4.88,10.682,-2.557,4.764,10.535,6.644,3.901,3.166,3.205,3.395,0.904
Germany,Food,Revenue Change by Segment,Bread & Cereal Products,percent,Statista,,-13.599,2.224,4.728,10.547,-2.674,4.642,10.397,-22.501,32.144,3.923,3.564,3.733,0.59
Germany,Food,Revenue Change by Segment,Confectionery & Snacks,percent,Statista,,-13.548,2.646,5.089,10.818,-2.384,4.942,10.748,7.904,5.053,4.237,4.234,3.94,5.51
Germany,Food,Revenue Change by Segment,Convenience Food,percent,Statista,,-13.061,2.898,5.422,11.271,-2.054,5.305,11.094,7.474,4.656,3.892,3.925,3.605,3.314
Germany,Food,Revenue Change by Segment,Dairy Products & Eggs,percent,Statista,,-13.556,2.304,4.867,10.565,-2.475,5.011,10.615,7.218,4.411,3.681,3.693,3.929,3.56
Germany,Food,Revenue Change by Segment,Fish & Seafood,percent,Statista,,-13.556,2.299,4.827,10.622,-2.598,4.686,10.473,-11.646,17.667,3.432,3.259,3.466,-0.643
Germany,Food,Revenue Change by Segment,Fruits & Nuts,percent,Statista,,-13.383,2.514,5.024,10.82,-2.415,4.897,10.643,6.397,3.881,3.325,3.337,3.383,0.335
Germany,Food,Revenue Change by Segment,Meat,percent,Statista,,-13.341,2.58,5.139,10.92,-2.344,5.353,10.823,6.086,6.105,4.256,4.31,4.115,5.211
Germany,Food,Revenue Change by Segment,Oils & Fats,percent,Statista,,-13.31,2.583,5.119,10.927,-2.335,4.998,10.771,-4.823,14.845,4.214,4.044,3.9,4.067
Germany,Food,Revenue Change by Segment,Pet Food,percent,Statista,,-0.988,16.055,2.504,2.813,3.096,6.029,5.752,7.826,4.351,2.731,3.071,3.433,3.841
Germany,Food,Revenue Change by Segment,Sauces & Spices,percent,Statista,,-13.946,1.86,4.347,10.123,-3.045,4.214,9.959,6.827,3.984,3.065,3.033,3.752,2.657
Germany,Food,Revenue Change by Segment,Spreads & Sweeteners,percent,Statista,,-13.665,-0.345,3.117,8.829,-4.189,2.531,8.124,-0.83,8.414,1.699,1.557,4.15,4.235
Germany,Food,Revenue Change by Segment,Vegetables,percent,Statista,,-13.437,2.504,4.983,10.842,-2.477,4.907,10.628,7.159,4.327,3.55,3.557,3.62,2.837
Germany,Food,Average Revenue per Capita,Total,USD (US$),Statista,"2,335","2,017","2,061","2,150","2,364","2,297","2,404","2,653","2,698","2,931","3,047","3,166","3,291","3,398"
Germany,Food,Average Revenue per Capita,Baby Food,USD (US$),Statista,6.82,5.874,5.983,6.24,6.868,6.661,6.956,7.678,8.19,8.52,8.805,9.1,9.42,9.513
Germany,Food,Average Revenue per Capita,Bread & Cereal Products,USD (US$),Statista,332.3,285.8,290.8,302.9,332.9,322.5,336.4,370.8,287.4,380.3,395.9,410.5,426.4,429.2
Germany,Food,Average Revenue per Capita,Confectionery & Snacks,USD (US$),Statista,209.3,180.2,184.1,192.3,212,205.9,215.5,238.3,257.2,270.4,282.5,294.8,306.8,323.9
Germany,Food,Average Revenue per Capita,Convenience Food,USD (US$),Statista,97.94,84.8,86.83,91.03,100.7,98.19,103.1,114.3,122.9,128.8,134.1,139.5,144.6,149.6
Germany,Food,Average Revenue per Capita,Dairy Products & Eggs,USD (US$),Statista,382.2,329,335,349.2,384.1,372.7,390.2,430.9,462.2,483.2,501.8,521.1,542.1,562
Germany,Food,Average Revenue per Capita,Fish & Seafood,USD (US$),Statista,83.42,71.8,73.1,76.19,83.81,81.25,84.8,93.54,82.66,97.39,100.9,104.3,108.1,107.5
Germany,Food,Average Revenue per Capita,Fruits & Nuts,USD (US$),Statista,231.2,199.4,203.4,212.4,234.1,227.3,237.7,262.7,279.5,290.8,301,311.4,322.3,323.7
Germany,Food,Average Revenue per Capita,Meat,USD (US$),Statista,505.2,436,445.1,465.2,513.2,498.8,523.8,579.7,615.2,653.5,682.5,713,743.1,782.5
Germany,Food,Average Revenue per Capita,Oils & Fats,USD (US$),Statista,67.43,58.21,59.42,62.11,68.51,66.6,69.7,77.1,73.39,84.4,88.11,91.8,95.49,99.47
Germany,Food,Average Revenue per Capita,Pet Food,USD (US$),Statista,42.24,41.65,48.11,49.04,50.13,51.44,54.36,57.41,61.92,64.7,66.58,68.72,71.16,73.96
Germany,Food,Average Revenue per Capita,Sauces & Spices,USD (US$),Statista,64.44,55.23,55.97,58.08,63.6,61.38,63.76,70.02,74.8,77.88,80.4,82.97,86.18,88.54
Germany,Food,Average Revenue per Capita,Spreads & Sweeteners,USD (US$),Statista,28.84,24.79,24.59,25.22,27.28,26.02,26.59,28.71,28.48,30.92,31.5,32.03,33.4,34.85
Germany,Food,Average Revenue per Capita,Vegetables,USD (US$),Statista,283.2,244.2,249,260,286.5,278.2,290.8,321.4,344.4,359.8,373.2,387,401.4,413.2
Germany,Food,Organic Food Share,Sustainable,percent,Statista|Statista Global Consumer Survey,5.543,5.823,6.212,6.407,6.595,7.022,8.55,8.422,7.971,8.145,8.304,8.433,8.541,8.801
Germany,Food,Online Revenue Share,Offline,percent,Statista,,,,99.231,98.966,98.611,98.137,96.867,96.04,95.029,93.816,92.385,,
Germany,Food,Online Revenue Share,Online,percent,Statista,,,,0.769,1.034,1.389,1.863,3.133,3.96,4.971,6.184,7.615,,
Germany,Food,Mobile/Desktop Split,Desktop,percent,Statista,,,,61.915,59.836,58.199,56.781,56.208,55.333,54.777,54.332,53.888,,
Germany,Food,Mobile/Desktop Split,Mobile,percent,Statista,,,,38.085,40.164,41.801,43.219,43.792,44.667,45.223,45.668,46.112,,
Germany,Food,Purchases by online channels,Amazon,percent,Statista Global Consumer Survey,,,,,,,15,,,,,,,
Germany,Food,Purchases by online channels,Ebay,percent,Statista Global Consumer Survey,,,,,,,7,,,,,,,
Germany,Food,Purchases by online channels,Online big-box store / superstore,percent,Statista Global Consumer Survey,,,,,,,1,,,,,,,
Germany,Food,Purchases by online channels,Online shop of a specialty/gourmet food store,percent,Statista Global Consumer Survey,,,,,,,3,,,,,,,
Germany,Food,Purchases by online channels,Online supermarket,percent,Statista Global Consumer Survey,,,,,,,5,,,,,,,
Germany,Food,Purchases by online channels,Other online store,percent,Statista Global Consumer Survey,,,,,,,4,,,,,,,
Germany,Food,Purchases by offline channels,Big-box store / superstore,percent,Statista Global Consumer Survey,,,,,,,46,,,,,,,
Germany,Food,Purchases by offline channels,Convenience store,percent,Statista Global Consumer Survey,,,,,,,6,,,,,,,
Germany,Food,Purchases by offline channels,Discount store,percent,Statista Global Consumer Survey,,,,,,,80,,,,,,,
Germany,Food,Purchases by offline channels,Other store,percent,Statista Global Consumer Survey,,,,,,,6,,,,,,,
Germany,Food,Purchases by offline channels,Specialty food store,percent,Statista Global Consumer Survey,,,,,,,37,,,,,,,
Germany,Food,Purchases by offline channels,Supermarket,percent,Statista Global Consumer Survey,,,,,,,75,,,,,,,
Germany,Food,Expenditure proportion by online channels,Amazon,percent,Statista Global Consumer Survey,,,,,,,13.89,,,,,,,
Germany,Food,Expenditure proportion by online channels,Ebay,percent,Statista Global Consumer Survey,,,,,,,11.948,,,,,,,
Germany,Food,Expenditure proportion by online channels,Online big-box store / superstore,percent,Statista Global Consumer Survey,,,,,,,15.423,,,,,,,
Germany,Food,Expenditure proportion by online channels,Online shop of a specialty/gourmet food store,percent,Statista Global Consumer Survey,,,,,,,15.601,,,,,,,
Germany,Food,Expenditure proportion by online channels,Online supermarket,percent,Statista Global Consumer Survey,,,,,,,23.653,,,,,,,
Germany,Food,Expenditure proportion by online channels,Other online store,percent,Statista Global Consumer Survey,,,,,,,19.485,,,,,,,
Germany,Food,Expenditure proportion by offline channels,Big-box store / superstore,percent,Statista Global Consumer Survey,,,,,,,20.154,,,,,,,
Germany,Food,Expenditure proportion by offline channels,Convenience store,percent,Statista Global Consumer Survey,,,,,,,7.832,,,,,,,
Germany,Food,Expenditure proportion by offline channels,Discount store,percent,Statista Global Consumer Survey,,,,,,,26.489,,,,,,,
Germany,Food,Expenditure proportion by offline channels,Other store,percent,Statista Global Consumer Survey,,,,,,,12.992,,,,,,,
Germany,Food,Expenditure proportion by offline channels,Specialty food store,percent,Statista Global Consumer Survey,,,,,,,9.031,,,,,,,
Germany,Food,Expenditure proportion by offline channels,Supermarket,percent,Statista Global Consumer Survey,,,,,,,23.502,,,,,,,
Germany,Food,Out-of-Home Revenue,Total,billion USD (US$),Statista,55.48,56.62,57.76,58.9,60.04,61.18,43.74,48.29,54.09,58.73,63.64,68.69,59.67,60.11
Germany,Food,Out-of-Home Revenue,Gastronomic Services,billion USD (US$),Statista,35.62,36.35,37.09,37.82,38.55,39.28,17.6,25.22,31.48,36.54,39.59,42.73,33.64,33.58
Germany,Food,Out-of-Home Revenue,Institutional Food Services,billion USD (US$),Statista,2.299,2.346,2.393,2.441,2.488,2.535,1.813,2.001,2.241,2.434,2.637,2.847,2.473,2.491
Germany,Food,Out-of-Home Revenue,Takeout,billion USD (US$),Statista,17.56,17.92,18.28,18.64,19,19.36,24.33,21.08,20.36,19.76,21.41,23.11,23,23.51
Germany,Food,Volume by Segment,Total,million kilograms,Statista,"48,261.505","49,121.062","49,715.408","49,519.955","50,596.469","50,785.355","51,683.245","51,753.814","49,718.368","52,537.372","53,502.52","54,461.358","55,478.833","55,918.476"
Germany,Food,Volume by Segment,Baby Food,million kilograms,Statista,78.163,78.759,78.927,78.186,79.582,79.216,80.233,80.345,81.247,82.036,83.118,84.23,85.477,84.545
Germany,Food,Volume by Segment,Bread & Cereal Products,million kilograms,Statista,"8,896.964","8,931.22","8,918.688","8,805.427","8,934.054","8,865.878","8,946.132","8,929.947","6,538.703","8,420.538","8,593.881","8,737.576","8,896.358","8,773.86"
Germany,Food,Volume by Segment,Confectionery & Snacks,million kilograms,Statista,"2,070.462","2,125.417","2,168.59","2,190.805","2,273.62","2,311.742","2,367.064","2,399.813","2,454.156","2,503.919","2,560.197","2,616.882","2,670.171","2,754.142"
Germany,Food,Volume by Segment,Convenience Food,million kilograms,Statista,"1,419.016","1,448.622","1,470.65","1,475.068","1,519.883","1,531.17","1,562.741","1,577.783","1,607.991","1,635.794","1,669.123","1,702.966","1,730.791","1,752.845"
Germany,Food,Volume by Segment,Dairy Products & Eggs,million kilograms,Statista,"11,227.914","11,449.102","11,608.365","11,641.395","11,995.488","12,093.642","12,373.932","12,461.184","12,680.174","12,878.503","13,115.19","13,362.721","13,646.27","13,851.016"
Germany,Food,Volume by Segment,Fish & Seafood,million kilograms,Statista,535.762,532.616,526.776,515.164,517.794,509.078,512.769,510.003,419.823,483.553,489.949,495.579,503.116,486.938
Germany,Food,Volume by Segment,Fruits & Nuts,million kilograms,Statista,"5,301.325","5,283.643","5,239.814","5,139.11","5,181.539","5,111.824","5,183.194","5,180.948","5,237.335","5,289.396","5,361.833","5,437.408","5,522.065","5,421.426"
Germany,Food,Volume by Segment,Meat,million kilograms,Statista,"4,336.728","4,462.711","4,567.77","4,615.459","4,787.207","4,856.188","4,977.059","5,048.071","5,084.764","5,250.858","5,380.348","5,512.806","5,629.678","5,829.528"
Germany,Food,Volume by Segment,Oils & Fats,million kilograms,Statista,787.67,803.267,814.35,815.751,839.28,844.108,862.771,870.907,734.613,861.69,882.58,901.705,919.953,935.015
Germany,Food,Volume by Segment,Pet Food,million kilograms,Statista,"1,308.315","1,500.793","1,697.191","1,641.019","1,543.263","1,621.125","1,665.722","1,456.791","1,489.627","1,510.607","1,523.958","1,542.354","1,565.658","1,593.825"
Germany,Food,Volume by Segment,Sauces & Spices,million kilograms,Statista,"1,047.521","1,059.834","1,066.168","1,059.937","1,082.439","1,080.772","1,094.713","1,095.892","1,107.022","1,115.874","1,126.819","1,137.779","1,157.708","1,155.608"
Germany,Food,Volume by Segment,Spreads & Sweeteners,million kilograms,Statista,621.642,639.686,638.925,636.651,651.224,651.624,652.378,645.332,590.369,633.396,629.567,624.476,640.307,649.569
Germany,Food,Volume by Segment,Vegetables,million kilograms,Statista,"10,630.023","10,805.394","10,919.194","10,905.985","11,191.096","11,228.988","11,404.536","11,496.798","11,692.543","11,871.208","12,085.959","12,304.874","12,511.281","12,630.159"
