Region,Market,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Poland,Dairy Products & Eggs,Revenue,Other Dairy Products & Eggs,billion USD (US$),Statista,1.415,1.181,1.175,1.301,1.395,1.41,1.474,1.552,1.719,1.93,2.107,2.276,2.449,2.46
Poland,Dairy Products & Eggs,Revenue,Yogurt,billion USD (US$),Statista,0.868,0.724,0.72,0.795,0.852,0.861,0.899,0.945,1.054,1.19,1.304,1.413,1.525,1.561
Poland,Dairy Products & Eggs,Revenue Change,Total,percent,Statista,,-16.669,-0.595,10.498,7.115,0.97,4.453,5.261,11.092,12.589,9.449,8.183,7.814,1.542
Poland,Dairy Products & Eggs,Revenue Change,Cheese,percent,Statista,,-16.678,-0.628,10.535,7.091,0.961,4.337,5.103,11.35,12.821,9.649,8.38,8.012,3.529
Poland,Dairy Products & Eggs,Revenue Change,Eggs,percent,Statista,,-16.569,-0.518,10.628,7.209,1.076,4.468,5.229,9.097,10.791,8.043,7.024,6.655,-7.179
Poland,Dairy Products & Eggs,Revenue Change,Milk,percent,Statista,,-16.993,-1.065,10,6.643,0.59,3.846,4.708,10.911,12.324,8.999,7.815,7.903,1.366
Poland,Dairy Products & Eggs,Revenue Change,Milk Substitutes,percent,Statista,,6.33,27.073,30.006,27.413,14.141,35.103,36.878,31.409,31.707,23.318,16.293,14.075,13.972
Poland,Dairy Products & Eggs,Revenue Change,Other Dairy Products & Eggs,percent,Statista,,-16.537,-0.508,10.723,7.225,1.075,4.539,5.292,10.76,12.275,9.171,8.021,7.601,0.449
Poland,Dairy Products & Eggs,Revenue Change,Yogurt,percent,Statista,,-16.634,-0.567,10.548,7.14,1.009,4.402,5.162,11.511,12.903,9.58,8.359,7.926,2.361
Poland,Dairy Products & Eggs,Average Revenue per Capita,Total,USD (US$),Statista,195.9,163.5,162.7,180,193,195,203.9,214.9,239.1,269.7,295.7,320.5,346.7,353
Poland,Dairy Products & Eggs,Average Revenue per Capita,Cheese,USD (US$),Statista,75.24,62.79,62.48,69.1,74.06,74.84,78.18,82.29,91.77,103.7,113.9,123.8,134,139.2
Poland,Dairy Products & Eggs,Average Revenue per Capita,Eggs,USD (US$),Statista,18.84,15.74,15.68,17.36,18.63,18.84,19.71,20.77,22.69,25.18,27.26,29.23,31.27,29.12
Poland,Dairy Products & Eggs,Average Revenue per Capita,Milk,USD (US$),Statista,41.55,34.54,34.22,37.69,40.22,40.48,42.1,44.13,49.01,55.15,60.24,65.08,70.42,71.58
Poland,Dairy Products & Eggs,Average Revenue per Capita,Milk Substitutes,USD (US$),Statista,0.348,0.371,0.472,0.614,0.819,0.913,1.288,1.659,2.028,2.454,2.967,3.583,4.327,5.19
Poland,Dairy Products & Eggs,Average Revenue per Capita,Other Dairy Products & Eggs,USD (US$),Statista,37.15,31.05,30.94,34.27,36.79,37.23,38.95,41.05,45.54,51.22,56.05,60.68,65.44,65.93
Poland,Dairy Products & Eggs,Average Revenue per Capita,Yogurt,USD (US$),Statista,22.79,19.03,18.94,20.96,22.48,22.72,23.75,25.01,27.92,31.59,34.68,37.66,40.76,41.83
Poland,Dairy Products & Eggs,Online Revenue Share,Offline,percent,Statista,,,,99.916,99.904,99.891,99.864,99.847,99.828,99.806,99.781,99.752,,
Poland,Dairy Products & Eggs,Online Revenue Share,Online,percent,Statista,,,,0.084,0.096,0.109,0.136,0.153,0.172,0.194,0.219,0.248,,
Poland,Dairy Products & Eggs,Mobile/Desktop Split,Desktop,percent,Statista,,,,64.255,62.269,60.593,59.139,57.727,56.624,55.527,55.383,55.246,,
Poland,Dairy Products & Eggs,Mobile/Desktop Split,Mobile,percent,Statista,,,,35.745,37.731,39.407,40.861,42.273,43.376,44.473,44.617,44.754,,
Poland,Dairy Products & Eggs,Volume,Total,million kilograms,Statista,"3,637.944","3,668.459","3,846.045","4,004.439","4,048.805","4,268.066","4,392.319","4,456.396","4,546.583","4,637.644","4,876.466","5,107.874","5,371.912","5,315.578"
Poland,Dairy Products & Eggs,Volume,Cheese,million kilograms,Statista,532.05,543.659,577.513,608.883,623.532,665.147,682.93,694.989,710.844,726.653,766.569,805.368,847.94,856.535
Poland,Dairy Products & Eggs,Volume,Eggs,million kilograms,Statista,263.209,252.843,252.98,251.65,243.515,245.805,253.56,252.132,252.669,253.668,263.624,273.449,284.431,257.637
Poland,Dairy Products & Eggs,Volume,Milk,million kilograms,Statista,"1,811.073","1,829.118","1,920.104","2,000.123","2,023.26","2,131.509","2,186.133","2,215.677","2,256.935","2,297.607","2,409.444","2,517.987","2,648.713","2,619.22"
Poland,Dairy Products & Eggs,Volume,Milk Substitutes,million kilograms,Statista,7.368,8.179,9.079,11.872,13.2,18.7,25.8,30.76,37.129,44.333,52.576,59.266,65.904,73.285
Poland,Dairy Products & Eggs,Volume,Other Dairy Products & Eggs,million kilograms,Statista,527.325,529.998,553.639,573.861,577.601,605.436,623.737,630.941,641.932,653.179,686.225,718.576,753.391,738.512
Poland,Dairy Products & Eggs,Volume,Yogurt,million kilograms,Statista,496.919,504.662,532.729,558.05,567.697,601.469,620.159,631.897,647.074,662.203,698.027,733.227,771.534,770.388
Poland,Dairy Products & Eggs,Volume Change,Total,percent,Statista,,0.839,4.841,4.118,1.108,5.415,2.911,1.459,2.024,2.003,5.15,4.745,5.169,-1.049
Poland,Dairy Products & Eggs,Volume Change,Cheese,percent,Statista,,2.182,6.227,5.432,2.406,6.674,2.674,1.766,2.281,2.224,5.493,5.061,5.286,1.014
Poland,Dairy Products & Eggs,Volume Change,Eggs,percent,Statista,,-3.938,0.054,-0.526,-3.232,0.94,3.155,-0.563,0.213,0.396,3.925,3.727,4.016,-9.42
Poland,Dairy Products & Eggs,Volume Change,Milk,percent,Statista,,0.996,4.974,4.167,1.157,5.35,2.563,1.351,1.862,1.802,4.868,4.505,5.192,-1.113
Poland,Dairy Products & Eggs,Volume Change,Milk Substitutes,percent,Statista,,11,11,30.769,11.187,41.667,37.968,19.225,20.705,19.402,18.593,12.726,11.2,11.2
Poland,Dairy Products & Eggs,Volume Change,Other Dairy Products & Eggs,percent,Statista,,0.507,4.461,3.653,0.652,4.819,3.023,1.155,1.742,1.752,5.059,4.714,4.845,-1.975
Poland,Dairy Products & Eggs,Volume Change,Yogurt,percent,Statista,,1.558,5.562,4.753,1.729,5.949,3.107,1.893,2.402,2.338,5.41,5.043,5.224,-0.148
Poland,Dairy Products & Eggs,Average Volume per Capita,Total,kilograms,Statista,95.506,96.452,101.24,105.51,106.768,112.65,116.056,117.903,120.472,123.099,129.696,136.157,143.557,142.452
Poland,Dairy Products & Eggs,Average Volume per Capita,Cheese,kilograms,Statista,13.968,14.294,15.202,16.043,16.443,17.556,18.045,18.387,18.835,19.288,20.388,21.468,22.66,22.954
Poland,Dairy Products & Eggs,Average Volume per Capita,Eggs,kilograms,Statista,6.91,6.648,6.659,6.631,6.422,6.488,6.7,6.671,6.695,6.733,7.011,7.289,7.601,6.904
Poland,Dairy Products & Eggs,Average Volume per Capita,Milk,kilograms,Statista,47.546,48.092,50.543,52.7,53.354,56.259,57.763,58.62,59.803,60.986,64.082,67.12,70.783,70.192
Poland,Dairy Products & Eggs,Average Volume per Capita,Milk Substitutes,kilograms,Statista,0.193,0.215,0.239,0.313,0.348,0.494,0.682,0.814,0.984,1.177,1.398,1.58,1.761,1.964
Poland,Dairy Products & Eggs,Average Volume per Capita,Other Dairy Products & Eggs,kilograms,Statista,13.844,13.935,14.574,15.12,15.231,15.98,16.481,16.693,17.009,17.338,18.251,19.155,20.133,19.791
Poland,Dairy Products & Eggs,Average Volume per Capita,Yogurt,kilograms,Statista,13.046,13.269,14.023,14.704,14.97,15.875,16.386,16.718,17.146,17.577,18.565,19.545,20.618,20.646
Poland,Food,Price per Unit,Average,USD (US$),Statista,2.64,2.213,2.128,2.294,2.467,2.401,2.461,2.576,2.846,3.109,3.234,3.339,3.425,3.529
Poland,Food,Price per Unit,Baby Food,USD (US$),Statista,5.046,4.169,3.952,4.199,4.451,4.272,4.347,4.508,4.907,5.415,5.629,5.806,5.957,6.106
Poland,Food,Price per Unit,Bread & Cereal Products,USD (US$),Statista,1.698,1.421,1.364,1.467,1.575,1.53,1.575,1.65,1.795,1.979,2.056,2.119,2.174,2.225
Poland,Food,Price per Unit,Confectionery & Snacks,USD (US$),Statista,4.721,3.935,3.743,3.982,4.242,4.104,4.187,4.356,4.734,5.212,5.401,5.556,5.703,5.834
Poland,Food,Price per Unit,Convenience Food,USD (US$),Statista,3.826,3.186,3.063,3.334,3.615,3.549,3.646,3.823,4.157,4.583,4.759,4.904,5.033,5.131
Poland,Food,Price per Unit,Dairy Products & Eggs,USD (US$),Statista,2.051,1.695,1.607,1.706,1.807,1.731,1.757,1.823,1.985,2.191,2.28,2.354,2.415,2.478
Poland,Food,Price per Unit,Fish & Seafood,USD (US$),Statista,12.44,10.51,10.18,11.05,11.97,11.73,12.06,12.65,13.79,15.22,15.82,16.33,16.76,17.22
Poland,Food,Price per Unit,Fruits & Nuts,USD (US$),Statista,1.847,1.577,1.544,1.695,1.856,1.839,1.908,2.013,2.191,2.414,2.511,2.594,2.661,2.74
Poland,Food,Price per Unit,Meat,USD (US$),Statista,6.05,5.037,4.813,5.147,5.494,5.308,5.438,5.677,6.242,6.892,7.202,7.468,7.666,7.922
Poland,Food,Price per Unit,Oils & Fats,USD (US$),Statista,5.443,4.706,4.662,5.168,5.712,5.709,5.904,6.249,7.118,7.593,7.89,8.143,8.342,8.486
Poland,Food,Price per Unit,Pet Food,USD (US$),Statista,2.06,1.7,1.6,1.69,1.78,1.7,1.608,1.726,1.879,2.074,2.156,2.224,2.281,2.338
Poland,Food,Price per Unit,Sauces & Spices,USD (US$),Statista,4.157,3.409,3.205,3.372,3.538,3.356,3.394,3.495,3.799,4.186,4.344,4.475,4.584,4.651
Poland,Food,Price per Unit,Spreads & Sweeteners,USD (US$),Statista,2.148,1.791,1.715,1.839,1.968,1.906,1.955,2.043,2.265,2.47,2.578,2.672,2.736,2.826
Poland,Food,Price per Unit,Vegetables,USD (US$),Statista,1.196,1.02,0.997,1.093,1.194,1.182,1.235,1.299,1.415,1.562,1.625,1.677,1.721,1.766
Poland,Food,Revenue by Segment,Total,billion USD (US$),Statista,53.62,44.86,44.64,49.3,52.88,53.49,56.02,58.95,62.68,72.38,79.2,85.72,92.28,92.58
Poland,Food,Revenue by Segment,Baby Food,billion USD (US$),Statista,0.26,0.216,0.215,0.237,0.254,0.256,0.267,0.281,0.312,0.35,0.382,0.413,0.445,0.449
Poland,Food,Revenue by Segment,Bread & Cereal Products,billion USD (US$),Statista,5.973,4.97,4.932,5.441,5.818,5.865,6.111,6.414,5.136,7.288,7.976,8.603,9.259,9.127
Poland,Food,Revenue by Segment,Confectionery & Snacks,billion USD (US$),Statista,10.13,8.438,8.349,9.204,9.856,9.961,10.4,10.94,12.07,13.51,14.84,16.15,17.34,17.61
Poland,Food,Revenue by Segment,Convenience Food,billion USD (US$),Statista,2.231,1.869,1.867,2.074,2.233,2.266,2.377,2.511,2.77,3.098,3.372,3.633,3.889,3.845
Poland,Food,Revenue by Segment,Dairy Products & Eggs,billion USD (US$),Statista,7.463,6.219,6.182,6.831,7.317,7.388,7.717,8.123,9.024,10.16,11.12,12.03,12.97,13.17
Poland,Food,Revenue by Segment,Fish & Seafood,billion USD (US$),Statista,2.424,2.025,2.017,2.234,2.398,2.427,2.538,2.674,2.92,3.289,3.577,3.85,4.126,4.029
Poland,Food,Revenue by Segment,Fruits & Nuts,billion USD (US$),Statista,4.513,3.771,3.758,4.164,4.472,4.527,4.737,4.993,5.464,6.061,6.563,7.043,7.527,7.225
Poland,Food,Revenue by Segment,Meat,billion USD (US$),Statista,10.94,9.117,9.061,10.01,10.72,10.83,11.31,11.89,12.92,14.78,16.16,17.48,18.86,19.25
Poland,Food,Revenue by Segment,Oils & Fats,billion USD (US$),Statista,1.29,1.076,1.071,1.184,1.27,1.283,1.34,1.41,1.331,1.645,1.783,1.911,2.042,1.893
Poland,Food,Revenue by Segment,Pet Food,billion USD (US$),Statista,0.759,0.767,0.782,0.794,0.882,0.944,1.131,1.19,1.443,1.727,2.019,2.317,2.643,3.041
Poland,Food,Revenue by Segment,Sauces & Spices,billion USD (US$),Statista,1.187,0.991,0.986,1.091,1.17,1.183,1.236,1.301,1.453,1.644,1.804,1.958,2.115,2.164
Poland,Food,Revenue by Segment,Spreads & Sweeteners,billion USD (US$),Statista,0.953,0.809,0.847,0.966,1.044,1.053,1.101,1.162,1.192,1.431,1.581,1.728,1.858,1.955
Poland,Food,Revenue by Segment,Vegetables,billion USD (US$),Statista,5.499,4.593,4.575,5.066,5.438,5.503,5.755,6.063,6.647,7.397,8.017,8.606,9.201,8.825
Poland,Food,Revenue Change by Segment,Total,percent,Statista,,-16.337,-0.49,10.439,7.262,1.154,4.73,5.23,6.327,15.475,9.422,8.232,7.653,0.325
Poland,Food,Revenue Change by Segment,Baby Food,percent,Statista,,-16.705,-0.693,10.423,7.08,0.905,4.29,5.049,10.929,12.388,9.138,7.98,7.705,0.967
Poland,Food,Revenue Change by Segment,Bread & Cereal Products,percent,Statista,,-16.792,-0.765,10.32,6.929,0.808,4.194,4.958,-19.925,41.9,9.44,7.861,7.625,-1.426
Poland,Food,Revenue Change by Segment,Confectionery & Snacks,percent,Statista,,-16.703,-1.055,10.241,7.084,1.065,4.407,5.192,10.329,11.93,9.845,8.827,7.368,1.557
Poland,Food,Revenue Change by Segment,Convenience Food,percent,Statista,,-16.226,-0.107,11.087,7.666,1.478,4.898,5.637,10.315,11.841,8.844,7.74,7.047,-1.131
Poland,Food,Revenue Change by Segment,Dairy Products & Eggs,percent,Statista,,-16.669,-0.595,10.498,7.115,0.97,4.453,5.261,11.092,12.589,9.449,8.183,7.814,1.542
Poland,Food,Revenue Change by Segment,Fish & Seafood,percent,Statista,,-16.46,-0.395,10.759,7.341,1.209,4.574,5.359,9.2,12.637,8.756,7.632,7.169,-2.351
Poland,Food,Revenue Change by Segment,Fruits & Nuts,percent,Statista,,-16.441,-0.345,10.804,7.397,1.23,4.639,5.404,9.433,10.926,8.282,7.314,6.872,-4.012
Poland,Food,Revenue Change by Segment,Meat,percent,Statista,,-16.664,-0.614,10.473,7.093,1.026,4.432,5.128,8.663,14.396,9.337,8.168,7.895,2.068
Poland,Food,Revenue Change by Segment,Oils & Fats,percent,Statista,,-16.589,-0.465,10.551,7.264,1.024,4.443,5.224,-5.603,23.591,8.389,7.179,6.855,-7.297
Poland,Food,Revenue Change by Segment,Pet Food,percent,Statista,,1.16,1.889,1.509,11.174,6.924,19.86,5.217,21.261,19.681,16.908,14.76,14.07,15.059
Poland,Food,Revenue Change by Segment,Sauces & Spices,percent,Statista,,-16.546,-0.485,10.672,7.241,1.111,4.48,5.259,11.683,13.145,9.732,8.537,8.018,2.317
Poland,Food,Revenue Change by Segment,Spreads & Sweeteners,percent,Statista,,-15.108,4.737,14.075,8.063,0.862,4.558,5.54,2.582,20.05,10.482,9.298,7.523,5.221
Poland,Food,Revenue Change by Segment,Vegetables,percent,Statista,,-16.476,-0.392,10.732,7.343,1.195,4.579,5.352,9.632,11.283,8.382,7.347,6.914,-4.087
Poland,Food,Average Revenue per Capita,Total,USD (US$),Statista,"1,408","1,180","1,175","1,299","1,394","1,412","1,480","1,560","1,661","1,921","2,106","2,285","2,466","2,481"
Poland,Food,Average Revenue per Capita,Baby Food,USD (US$),Statista,6.819,5.688,5.657,6.254,6.699,6.767,7.065,7.433,8.256,9.295,10.17,11,11.88,12.03
Poland,Food,Average Revenue per Capita,Bread & Cereal Products,USD (US$),Statista,156.8,130.7,129.8,143.4,153.4,154.8,161.5,169.7,136.1,193.4,212.1,229.3,247.4,244.6
Poland,Food,Average Revenue per Capita,Confectionery & Snacks,USD (US$),Statista,266,221.8,219.8,242.5,259.9,262.9,274.9,289.4,319.9,358.7,394.7,430.6,463.5,471.8
Poland,Food,Average Revenue per Capita,Convenience Food,USD (US$),Statista,58.57,49.14,49.15,54.64,58.88,59.81,62.8,66.45,73.39,82.24,89.68,96.85,103.9,103
Poland,Food,Average Revenue per Capita,Dairy Products & Eggs,USD (US$),Statista,195.9,163.5,162.7,180,193,195,203.9,214.9,239.1,269.7,295.7,320.5,346.7,353
Poland,Food,Average Revenue per Capita,Fish & Seafood,USD (US$),Statista,63.65,53.24,53.09,58.86,63.24,64.05,67.07,70.75,77.38,87.3,95.13,102.6,110.3,108
Poland,Food,Average Revenue per Capita,Fruits & Nuts,USD (US$),Statista,118.5,99.16,98.93,109.7,117.9,119.5,125.2,132.1,144.8,160.9,174.5,187.7,201.1,193.6
Poland,Food,Average Revenue per Capita,Meat,USD (US$),Statista,287.1,239.7,238.5,263.8,282.8,285.9,298.8,314.6,342.3,392.3,429.9,466,503.9,515.8
Poland,Food,Average Revenue per Capita,Oils & Fats,USD (US$),Statista,33.87,28.3,28.18,31.2,33.48,33.86,35.41,37.31,35.27,43.67,47.41,50.94,54.56,50.73
Poland,Food,Average Revenue per Capita,Pet Food,USD (US$),Statista,19.92,20.18,20.59,20.91,23.27,24.9,29.87,31.48,38.23,45.83,53.7,61.76,70.63,81.5
Poland,Food,Average Revenue per Capita,Sauces & Spices,USD (US$),Statista,31.16,26.04,25.95,28.74,30.85,31.22,32.66,34.42,38.5,43.63,47.98,52.19,56.52,58
Poland,Food,Average Revenue per Capita,Spreads & Sweeteners,USD (US$),Statista,25.01,21.26,22.29,25.45,27.53,27.8,29.09,30.75,31.58,37.98,42.04,46.05,49.64,52.39
Poland,Food,Average Revenue per Capita,Vegetables,USD (US$),Statista,144.4,120.8,120.4,133.5,143.4,145.2,152.1,160.4,176.1,196.3,213.2,229.4,245.9,236.5
Poland,Food,Organic Food Share,Sustainable,percent,Statista|Statista Global Consumer Survey,0.377,0.425,0.499,0.56,0.586,0.684,0.717,0.753,0.712,0.72,0.724,0.722,0.717,0.792
Poland,Food,Online Revenue Share,Offline,percent,Statista,,,,99.916,99.904,99.891,99.86,99.844,99.825,99.804,99.78,99.752,,
Poland,Food,Online Revenue Share,Online,percent,Statista,,,,0.084,0.096,0.109,0.14,0.156,0.175,0.196,0.22,0.248,,
Poland,Food,Mobile/Desktop Split,Desktop,percent,Statista,,,,64.255,62.269,60.593,59.139,57.727,56.624,55.527,55.383,55.246,,
Poland,Food,Mobile/Desktop Split,Mobile,percent,Statista,,,,35.745,37.731,39.407,40.861,42.273,43.376,44.473,44.617,44.754,,
Poland,Food,Out-of-Home Revenue,Total,billion USD (US$),Statista,5.32,5.72,6.12,6.519,6.919,7.318,5.89,6.393,7.31,8.291,9.309,10.42,9.663,10.16
Poland,Food,Out-of-Home Revenue,Gastronomic Services,billion USD (US$),Statista,3.717,3.996,4.275,4.554,4.833,5.112,3.191,4.018,4.814,5.626,6.317,7.074,6.229,6.51
Poland,Food,Out-of-Home Revenue,Institutional Food Services,billion USD (US$),Statista,0.252,0.271,0.29,0.309,0.328,0.346,0.279,0.303,0.346,0.392,0.441,0.493,0.457,0.481
Poland,Food,Out-of-Home Revenue,Takeout,billion USD (US$),Statista,1.352,1.454,1.555,1.657,1.758,1.86,2.42,2.072,2.15,2.273,2.552,2.858,2.946,3.141
Poland,Food,Volume by Segment,Total,million kilograms,Statista,"20,313.972","20,269.634","20,978.096","21,491.547","21,434.783","22,276.627","22,758.7","22,883.09","22,023.042","23,279.828","24,489.501","25,671.663","26,944.587","26,235.81"
Poland,Food,Volume by Segment,Baby Food,million kilograms,Statista,51.474,51.892,54.372,56.53,57.073,60.006,61.512,62.325,63.493,64.667,67.908,71.079,74.623,73.499
Poland,Food,Volume by Segment,Bread & Cereal Products,million kilograms,Statista,"3,517.295","3,497.347","3,614.84","3,707.906","3,693.764","3,832.531","3,879.069","3,887.217","2,861.153","3,682","3,879.607","4,060.03","4,259.097","4,101.564"
Poland,Food,Volume by Segment,Confectionery & Snacks,million kilograms,Statista,"2,146.555","2,144.313","2,230.763","2,311.564","2,323.412","2,426.918","2,484.461","2,511.444","2,550.431","2,592.625","2,747.898","2,907.696","3,041.374","3,017.679"
Poland,Food,Volume by Segment,Convenience Food,million kilograms,Statista,583.076,586.598,609.64,622.013,617.613,638.527,651.938,656.882,666.179,676.111,708.573,740.883,772.556,749.446
Poland,Food,Volume by Segment,Dairy Products & Eggs,million kilograms,Statista,"3,637.944","3,668.459","3,846.045","4,004.439","4,048.805","4,268.066","4,392.319","4,456.396","4,546.583","4,637.644","4,876.466","5,107.874","5,371.912","5,315.578"
Poland,Food,Volume by Segment,Fish & Seafood,million kilograms,Statista,194.811,192.678,198.118,202.187,200.413,206.928,210.502,211.429,211.772,216.152,226.021,235.745,246.161,234.013
Poland,Food,Volume by Segment,Fruits & Nuts,million kilograms,Statista,"2,443.807","2,391.782","2,433.396","2,457.019","2,409.461","2,461.054","2,482.263","2,479.793","2,493.386","2,510.559","2,613.597","2,715.286","2,828.686","2,636.675"
Poland,Food,Volume by Segment,Meat,million kilograms,Statista,"1,807.846","1,810.174","1,882.544","1,945.18","1,951.826","2,040.491","2,079.387","2,094.628","2,069.549","2,144.295","2,244.329","2,340.617","2,459.616","2,429.572"
Poland,Food,Volume by Segment,Oils & Fats,million kilograms,Statista,237.058,228.7,229.666,229.15,222.264,224.728,226.987,225.677,186.995,216.663,225.933,234.645,244.736,223.063
Poland,Food,Volume by Segment,Pet Food,million kilograms,Statista,368.317,451.449,488.778,469.689,495.759,555.042,702.921,689.29,767.787,832.676,936.687,"1,042.026","1,158.592","1,300.503"
Poland,Food,Volume by Segment,Sauces & Spices,million kilograms,Statista,285.558,290.558,307.617,323.504,330.709,352.442,364.144,372.257,382.481,392.74,415.272,437.467,461.431,465.26
Poland,Food,Volume by Segment,Spreads & Sweeteners,million kilograms,Statista,443.54,451.43,493.886,525.386,530.577,552.59,563.16,568.902,526.26,579.273,613.153,646.553,678.941,691.781
Poland,Food,Volume by Segment,Vegetables,million kilograms,Statista,"4,596.691","4,504.254","4,588.43","4,636.978","4,553.105","4,657.304","4,660.035","4,666.849","4,696.972","4,734.424","4,934.059","5,131.761","5,346.861","4,997.177"
Poland,Food,Volume Change by Segment,Total,percent,Statista,,-0.218,3.495,2.448,-0.264,3.927,2.164,0.547,-3.758,5.707,5.196,4.827,4.958,-2.631
Poland,Food,Volume Change by Segment,Baby Food,percent,Statista,,0.813,4.779,3.969,0.959,5.14,2.51,1.322,1.873,1.85,5.011,4.671,4.985,-1.506
Poland,Food,Volume Change by Segment,Bread & Cereal Products,percent,Statista,,-0.567,3.36,2.575,-0.381,3.757,1.214,0.21,-26.396,28.689,5.367,4.651,4.903,-3.699
Poland,Food,Volume Change by Segment,Confectionery & Snacks,percent,Statista,,-0.104,4.032,3.622,0.513,4.455,2.371,1.086,1.552,1.654,5.989,5.815,4.597,-0.779
Poland,Food,Volume Change by Segment,Convenience Food,percent,Statista,,0.604,3.928,2.03,-0.707,3.386,2.1,0.758,1.415,1.491,4.801,4.56,4.275,-2.991
