Region,Market,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Czechia,Food,Price per Unit,Vegetables,USD (US$),Statista,1.188,1.043,1.095,1.214,1.381,1.392,1.461,1.66,1.811,1.854,1.893,1.932,1.971,2.013
Czechia,Food,Revenue by Segment,Total,billion USD (US$),Statista,15.48,13.49,14.07,15.47,17.02,17.47,18.06,20.56,21.84,23.6,24.71,25.81,27,28.55
Czechia,Food,Revenue by Segment,Baby Food,billion USD (US$),Statista,0.074,0.064,0.067,0.074,0.081,0.083,0.086,0.098,0.107,0.111,0.115,0.119,0.124,0.123
Czechia,Food,Revenue by Segment,Bread & Cereal Products,billion USD (US$),Statista,1.709,1.48,1.541,1.694,1.863,1.907,1.968,2.239,1.815,2.415,2.545,2.667,2.801,2.998
Czechia,Food,Revenue by Segment,Confectionery & Snacks,billion USD (US$),Statista,3.057,2.649,2.753,3.025,3.32,3.398,3.509,3.997,4.441,4.633,4.836,5.04,5.264,5.532
Czechia,Food,Revenue by Segment,Convenience Food,billion USD (US$),Statista,0.636,0.554,0.581,0.643,0.712,0.733,0.762,0.873,0.973,1.018,1.066,1.114,1.162,1.231
Czechia,Food,Revenue by Segment,Dairy Products & Eggs,billion USD (US$),Statista,2.146,1.863,1.942,2.139,2.356,2.418,2.503,2.853,3.226,3.418,3.61,3.802,4.021,4.462
Czechia,Food,Revenue by Segment,Fish & Seafood,billion USD (US$),Statista,0.674,0.586,0.612,0.675,0.745,0.765,0.792,0.905,0.827,0.972,1.013,1.053,1.096,1.09
Czechia,Food,Revenue by Segment,Fruits & Nuts,billion USD (US$),Statista,1.232,1.073,1.124,1.243,1.374,1.415,1.468,1.68,1.853,1.927,2.01,2.093,2.178,2.225
Czechia,Food,Revenue by Segment,Meat,billion USD (US$),Statista,3.128,2.714,2.83,3.117,3.432,3.52,3.638,4.148,4.551,4.85,5.089,5.328,5.591,6.062
Czechia,Food,Revenue by Segment,Oils & Fats,billion USD (US$),Statista,0.369,0.32,0.334,0.368,0.406,0.417,0.431,0.492,0.472,0.54,0.561,0.583,0.606,0.596
Czechia,Food,Revenue by Segment,Pet Food,billion USD (US$),Statista,0.351,0.355,0.362,0.367,0.374,0.383,0.382,0.387,0.424,0.427,0.431,0.436,0.442,0.451
Czechia,Food,Revenue by Segment,Sauces & Spices,billion USD (US$),Statista,0.339,0.294,0.307,0.339,0.374,0.384,0.397,0.454,0.505,0.529,0.553,0.577,0.603,0.634
Czechia,Food,Revenue by Segment,Spreads & Sweeteners,billion USD (US$),Statista,0.198,0.176,0.194,0.222,0.257,0.272,0.286,0.33,0.341,0.384,0.414,0.446,0.468,0.537
Czechia,Food,Revenue by Segment,Vegetables,billion USD (US$),Statista,1.564,1.359,1.42,1.567,1.729,1.777,1.84,2.101,2.306,2.378,2.463,2.55,2.644,2.608
Czechia,Food,Revenue Change by Segment,Total,percent,Statista,,-12.855,4.299,9.95,10.019,2.644,3.377,13.843,6.226,8.059,4.703,4.452,4.611,5.741
Czechia,Food,Revenue Change by Segment,Baby Food,percent,Statista,,-13.282,4.247,10.109,10.092,2.533,3.338,13.946,10.008,3.442,3.507,3.562,3.859,-0.727
Czechia,Food,Revenue Change by Segment,Bread & Cereal Products,percent,Statista,,-13.4,4.122,9.929,9.976,2.362,3.199,13.77,-18.937,33.058,5.383,4.794,5.024,7.033
Czechia,Food,Revenue Change by Segment,Confectionery & Snacks,percent,Statista,,-13.346,3.926,9.88,9.752,2.349,3.267,13.907,11.108,4.323,4.382,4.218,4.444,5.091
Czechia,Food,Revenue Change by Segment,Convenience Food,percent,Statista,,-12.821,4.8,10.692,10.67,3.064,3.873,14.546,11.496,4.646,4.715,4.503,4.309,5.938
Czechia,Food,Revenue Change by Segment,Dairy Products & Eggs,percent,Statista,,-13.187,4.24,10.144,10.145,2.632,3.515,13.983,13.074,5.952,5.617,5.319,5.76,10.967
Czechia,Food,Revenue Change by Segment,Fish & Seafood,percent,Statista,,-13.097,4.455,10.327,10.308,2.726,3.555,14.174,-8.534,17.464,4.229,3.949,4.084,-0.547
Czechia,Food,Revenue Change by Segment,Fruits & Nuts,percent,Statista,,-12.906,4.753,10.587,10.539,2.984,3.746,14.441,10.298,3.994,4.307,4.129,4.061,2.158
Czechia,Food,Revenue Change by Segment,Meat,percent,Statista,,-13.235,4.274,10.141,10.106,2.564,3.352,14.019,9.716,6.57,4.928,4.696,4.936,8.424
Czechia,Food,Revenue Change by Segment,Oils & Fats,percent,Statista,,-13.178,4.372,10.233,10.206,2.635,3.456,14.08,-3.945,14.268,3.983,3.777,3.948,-1.552
Czechia,Food,Revenue Change by Segment,Pet Food,percent,Statista,,1.139,1.914,1.491,1.905,2.19,-0.131,1.23,9.718,0.66,0.936,1.043,1.514,1.989
Czechia,Food,Revenue Change by Segment,Sauces & Spices,percent,Statista,,-13.127,4.414,10.276,10.262,2.675,3.49,14.145,11.444,4.61,4.521,4.397,4.49,5.192
Czechia,Food,Revenue Change by Segment,Spreads & Sweeteners,percent,Statista,,-11.201,10.284,14.529,15.475,5.882,5.224,15.28,3.397,12.643,7.891,7.579,4.891,14.952
Czechia,Food,Revenue Change by Segment,Vegetables,percent,Statista,,-13.107,4.489,10.352,10.338,2.776,3.545,14.185,9.757,3.122,3.574,3.532,3.686,-1.362
Czechia,Food,Average Revenue per Capita,Total,USD (US$),Statista,"1,461","1,272","1,325","1,454","1,596","1,634","1,687","1,917","2,034","2,196","2,298","2,399","2,509","2,654"
Czechia,Food,Average Revenue per Capita,Baby Food,USD (US$),Statista,6.974,6.042,6.288,6.909,7.589,7.764,8.008,9.112,10.01,10.34,10.71,11.08,11.51,11.42
Czechia,Food,Average Revenue per Capita,Bread & Cereal Products,USD (US$),Statista,161.4,139.6,145.1,159.2,174.6,178.4,183.8,208.8,169,224.7,236.7,248,260.3,278.7
Czechia,Food,Average Revenue per Capita,Confectionery & Snacks,USD (US$),Statista,288.6,249.9,259.2,284.2,311.3,317.9,327.7,372.7,413.7,431.2,449.7,468.6,489.2,514.2
Czechia,Food,Average Revenue per Capita,Convenience Food,USD (US$),Statista,60.02,52.28,54.7,60.42,66.71,68.6,71.13,81.36,90.6,94.72,99.1,103.6,108,114.4
Czechia,Food,Average Revenue per Capita,Dairy Products & Eggs,USD (US$),Statista,202.6,175.7,182.9,201,220.9,226.2,233.7,266,300.4,318.1,335.7,353.5,373.8,414.8
Czechia,Food,Average Revenue per Capita,Fish & Seafood,USD (US$),Statista,63.66,55.26,57.63,63.45,69.83,71.58,73.98,84.35,77.06,90.44,94.22,97.92,101.9,101.4
Czechia,Food,Average Revenue per Capita,Fruits & Nuts,USD (US$),Statista,116.4,101.2,105.8,116.8,128.8,132.3,137.1,156.7,172.5,179.4,186.9,194.6,202.4,206.8
Czechia,Food,Average Revenue per Capita,Meat,USD (US$),Statista,295.3,256,266.5,292.9,321.8,329.3,339.8,386.7,423.8,451.4,473.3,495.3,519.7,563.5
Czechia,Food,Average Revenue per Capita,Oils & Fats,USD (US$),Statista,34.82,30.2,31.47,34.62,38.07,38.99,40.26,45.86,43.99,50.23,52.2,54.15,56.28,55.41
Czechia,Food,Average Revenue per Capita,Pet Food,USD (US$),Statista,33.17,33.52,34.1,34.54,35.11,35.8,35.69,36.08,39.54,39.77,40.12,40.51,41.12,41.94
Czechia,Food,Average Revenue per Capita,Sauces & Spices,USD (US$),Statista,32.01,27.78,28.95,31.86,35.05,35.92,37.1,42.29,47.07,49.2,51.39,53.63,56.03,58.94
Czechia,Food,Average Revenue per Capita,Spreads & Sweeteners,USD (US$),Statista,18.71,16.6,18.28,20.89,24.07,25.43,26.71,30.75,31.75,35.74,38.53,41.43,43.46,49.95
Czechia,Food,Average Revenue per Capita,Vegetables,USD (US$),Statista,147.7,128.2,133.7,147.3,162.1,166.2,171.8,195.9,214.7,221.3,229.1,237.1,245.8,242.4
Czechia,Food,Organic Food Share,Sustainable,percent,Statista|Statista Global Consumer Survey,0.68,0.728,0.784,0.973,1.227,1.36,1.377,1.423,1.439,1.582,1.735,1.901,2.078,2.292
Czechia,Food,Online Revenue Share,Offline,percent,Statista,,,,99.842,99.819,99.794,99.729,99.698,99.664,99.624,99.58,99.529,,
Czechia,Food,Online Revenue Share,Online,percent,Statista,,,,0.158,0.181,0.206,0.271,0.302,0.336,0.376,0.42,0.471,,
Czechia,Food,Mobile/Desktop Split,Desktop,percent,Statista,,,,71.077,67.059,62.475,58.543,55.967,54.49,53.265,52.815,52.374,,
Czechia,Food,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Food,Out-of-Home Revenue,Total,billion USD (US$),Statista,4.469,4.599,4.729,4.859,4.989,5.119,3.677,4.093,4.595,5.066,5.551,6.047,5.268,5.347
Czechia,Food,Out-of-Home Revenue,Gastronomic Services,billion USD (US$),Statista,3.122,3.213,3.304,3.395,3.485,3.576,1.992,2.573,3.026,3.437,3.767,4.103,3.396,3.427
Czechia,Food,Out-of-Home Revenue,Institutional Food Services,billion USD (US$),Statista,0.211,0.218,0.224,0.23,0.236,0.242,0.174,0.194,0.217,0.24,0.263,0.286,0.249,0.253
Czechia,Food,Out-of-Home Revenue,Takeout,billion USD (US$),Statista,1.136,1.169,1.202,1.235,1.268,1.301,1.511,1.327,1.351,1.389,1.522,1.657,1.606,1.653
Czechia,Food,Volume by Segment,Total,million kilograms,Statista,"5,903.153","6,059.397","6,218.58","6,360.924","6,347.299","6,669.953","6,741.161","6,851.436","6,500.235","7,007.796","7,195.463","7,370.545","7,562.789","7,841.41"
Czechia,Food,Volume by Segment,Baby Food,million kilograms,Statista,18.576,18.446,18.409,18.375,17.89,18.306,18.358,18.486,18.667,18.865,19.156,19.443,19.802,19.269
Czechia,Food,Volume by Segment,Bread & Cereal Products,million kilograms,Statista,"1,306.707","1,351.641","1,404.25","1,458.297","1,476.36","1,570.131","1,586.394","1,618.48","1,199.495","1,568.489","1,623.614","1,670.364","1,720.521","1,816.871"
Czechia,Food,Volume by Segment,Confectionery & Snacks,million kilograms,Statista,600.868,613.956,640.33,659.075,659.456,692.929,699.341,711.663,726.922,742.311,761.503,780.073,798.846,828.663
Czechia,Food,Volume by Segment,Convenience Food,million kilograms,Statista,146.589,151.184,154.872,159.762,160.275,168.767,171.551,175.402,179.61,183.852,188.856,193.717,198.086,205.928
Czechia,Food,Volume by Segment,Dairy Products & Eggs,million kilograms,Statista,951.531,999.54,"1,054.525","1,111.836","1,143.49","1,234.56","1,273.967","1,323.645","1,374.679","1,425.326","1,475.766","1,524.377","1,581.384","1,715.798"
Czechia,Food,Volume by Segment,Fish & Seafood,million kilograms,Statista,48.493,48.069,47.882,47.696,46.333,47.296,47.355,47.601,39.355,45.563,46.523,47.375,48.317,46.971
Czechia,Food,Volume by Segment,Fruits & Nuts,million kilograms,Statista,595.894,599.624,605.993,612.134,602.745,623.411,626.694,634.301,643.537,653.321,666.776,679.91,693.414,692.532
Czechia,Food,Volume by Segment,Meat,million kilograms,Statista,449.573,461.225,476.152,491.75,492.329,518.348,525.138,535.389,535.794,556.367,569.53,581.809,598.237,630.966
Czechia,Food,Volume by Segment,Oils & Fats,million kilograms,Statista,60.732,60.086,59.691,59.255,57.325,58.241,58.431,58.703,50.769,57.507,58.634,59.643,60.8,58.715
Czechia,Food,Volume by Segment,Pet Food,million kilograms,Statista,212.888,248.467,242.992,224.078,203.517,207.994,213.961,193.601,194.931,191.826,189.829,188.029,187.15,187.114
Czechia,Food,Volume by Segment,Sauces & Spices,million kilograms,Statista,113.202,115.831,119.057,122.333,122.545,128.957,130.643,133.248,136.124,139.018,142.38,145.62,149.171,153.872
Czechia,Food,Volume by Segment,Spreads & Sweeteners,million kilograms,Statista,82.171,87.591,97.129,105.587,112.782,124.568,129.972,135.491,127.193,142.569,151.326,160.087,165.257,189.172
Czechia,Food,Volume by Segment,Vegetables,million kilograms,Statista,"1,315.928","1,303.736","1,297.298","1,290.744","1,252.253","1,276.445","1,259.356","1,265.426","1,273.158","1,282.781","1,301.571","1,320.098","1,341.805","1,295.541"
Czechia,Food,Volume Change by Segment,Total,percent,Statista,,2.647,2.627,2.289,-0.214,5.083,1.068,1.636,-5.126,7.808,2.678,2.433,2.608,3.684
Czechia,Food,Volume Change by Segment,Baby Food,percent,Statista,,-0.701,-0.201,-0.184,-2.641,2.324,0.287,0.696,0.981,1.059,1.542,1.5,1.845,-2.69
Czechia,Food,Volume Change by Segment,Bread & Cereal Products,percent,Statista,,3.439,3.892,3.849,1.239,6.352,1.036,2.023,-25.888,30.762,3.515,2.879,3.003,5.6
Czechia,Food,Volume Change by Segment,Confectionery & Snacks,percent,Statista,,2.178,4.296,2.927,0.058,5.076,0.925,1.762,2.144,2.117,2.585,2.439,2.407,3.733
Czechia,Food,Volume Change by Segment,Convenience Food,percent,Statista,,3.135,2.439,3.158,0.321,5.298,1.65,2.245,2.399,2.362,2.721,2.574,2.255,3.959
Czechia,Food,Volume Change by Segment,Dairy Products & Eggs,percent,Statista,,5.045,5.501,5.435,2.847,7.964,3.192,3.899,3.856,3.684,3.539,3.294,3.74,8.5
Czechia,Food,Volume Change by Segment,Fish & Seafood,percent,Statista,,-0.874,-0.389,-0.388,-2.858,2.077,0.125,0.52,-17.323,15.774,2.108,1.832,1.987,-2.784
Czechia,Food,Volume Change by Segment,Fruits & Nuts,percent,Statista,,0.626,1.062,1.013,-1.534,3.429,0.527,1.214,1.456,1.52,2.06,1.97,1.986,-0.127
Czechia,Food,Volume Change by Segment,Meat,percent,Statista,,2.592,3.236,3.276,0.118,5.285,1.31,1.952,0.076,3.84,2.366,2.156,2.824,5.471
Czechia,Food,Volume Change by Segment,Oils & Fats,percent,Statista,,-1.062,-0.658,-0.73,-3.256,1.597,0.326,0.466,-13.515,13.272,1.959,1.72,1.939,-3.428
Czechia,Food,Volume Change by Segment,Pet Food,percent,Statista,,16.712,-2.204,-7.784,-9.176,2.2,2.869,-9.516,0.687,-1.593,-1.041,-0.948,-0.467,-0.019
Czechia,Food,Volume Change by Segment,Sauces & Spices,percent,Statista,,2.322,2.785,2.752,0.173,5.232,1.308,1.994,2.158,2.126,2.418,2.275,2.439,3.151
Czechia,Food,Volume Change by Segment,Spreads & Sweeteners,percent,Statista,,6.596,10.889,8.708,6.814,10.45,4.338,4.246,-6.124,12.089,6.142,5.789,3.229,14.472
Czechia,Food,Volume Change by Segment,Vegetables,percent,Statista,,-0.927,-0.494,-0.505,-2.982,1.932,-1.339,0.482,0.611,0.756,1.465,1.423,1.644,-3.448
Czechia,Food,Average Volume per Capita,Total,kilograms,Statista,557.369,571.566,585.616,597.773,595.114,623.989,629.487,638.855,605.417,652.137,669.197,685.205,702.937,728.849
Czechia,Food,Average Volume per Capita,Baby Food,kilograms,Statista,1.754,1.74,1.734,1.727,1.677,1.713,1.714,1.724,1.739,1.756,1.782,1.808,1.841,1.791
Czechia,Food,Average Volume per Capita,Bread & Cereal Products,kilograms,Statista,123.378,127.497,132.241,137.045,138.422,146.889,148.137,150.914,111.718,145.962,151,155.286,159.917,168.876
Czechia,Food,Average Volume per Capita,Confectionery & Snacks,kilograms,Statista,56.733,57.913,60.301,61.937,61.83,64.825,65.304,66.358,67.704,69.079,70.822,72.52,74.25,77.023
Czechia,Food,Average Volume per Capita,Convenience Food,kilograms,Statista,13.841,14.261,14.585,15.014,15.027,15.788,16.019,16.355,16.728,17.109,17.564,18.009,18.411,19.141
Czechia,Food,Average Volume per Capita,Dairy Products & Eggs,kilograms,Statista,89.842,94.284,99.307,104.486,107.212,115.496,118.962,123.422,128.035,132.639,137.25,141.714,146.985,159.481
Czechia,Food,Average Volume per Capita,Fish & Seafood,kilograms,Statista,4.579,4.534,4.509,4.482,4.344,4.425,4.422,4.438,3.665,4.24,4.327,4.404,4.491,4.366
Czechia,Food,Average Volume per Capita,Fruits & Nuts,kilograms,Statista,56.264,56.561,57.068,57.526,56.513,58.322,58.52,59.145,59.938,60.797,62.012,63.208,64.451,64.37
Czechia,Food,Average Volume per Capita,Meat,kilograms,Statista,42.448,43.506,44.84,46.213,46.16,48.493,49.037,49.922,49.903,51.775,52.968,54.088,55.604,58.647
Czechia,Food,Average Volume per Capita,Oils & Fats,kilograms,Statista,5.734,5.668,5.621,5.569,5.375,5.449,5.456,5.474,4.729,5.352,5.453,5.545,5.651,5.458
Czechia,Food,Average Volume per Capita,Pet Food,kilograms,Statista,20.101,23.437,22.883,21.058,19.081,19.458,19.98,18.052,18.155,17.851,17.655,17.48,17.395,17.392
Czechia,Food,Average Volume per Capita,Sauces & Spices,kilograms,Statista,10.688,10.926,11.212,11.496,11.49,12.064,12.199,12.425,12.678,12.937,13.242,13.538,13.865,14.302
Czechia,Food,Average Volume per Capita,Spreads & Sweeteners,kilograms,Statista,7.759,8.262,9.147,9.923,10.574,11.654,12.137,12.634,11.846,13.267,14.074,14.883,15.36,17.583
Czechia,Food,Average Volume per Capita,Vegetables,kilograms,Statista,124.248,122.978,122.169,121.299,117.41,119.414,117.598,117.993,118.579,119.374,121.049,122.723,124.717,120.419
Czechia,Eggs,Price per Unit,Average,USD (US$),Statista,2.133,1.683,1.594,1.599,1.651,1.516,1.459,1.544,1.682,1.721,1.755,1.79,1.826,1.863
Czechia,Eggs,Revenue,Total,million USD (US$),Statista,204.1,177.3,185.1,204.1,225.1,231.1,239.2,273,320.4,351.9,380.7,410.8,442.1,523
Czechia,Eggs,Revenue Change,Total,percent,Statista,,-13.131,4.399,10.265,10.289,2.665,3.505,14.13,17.363,9.831,8.184,7.906,7.619,18.299
Czechia,Eggs,Average Revenue per Capita,Total,USD (US$),Statista,19.27,16.72,17.43,19.18,21.1,21.62,22.33,25.45,29.84,32.75,35.41,38.19,41.09,48.61
Czechia,Eggs,Online Revenue Share,Offline,percent,Statista,,,,99.842,99.819,99.794,99.738,99.706,99.67,99.63,99.583,99.529,,
Czechia,Eggs,Online Revenue Share,Online,percent,Statista,,,,0.158,0.181,0.206,0.262,0.294,0.33,0.37,0.417,0.471,,
Czechia,Eggs,Mobile/Desktop Split,Desktop,percent,Statista,,,,71.077,67.059,62.475,58.543,55.967,54.49,53.265,52.815,52.374,,
Czechia,Eggs,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Eggs,Volume,Total,million kilograms,Statista,95.695,105.341,116.141,127.626,136.316,152.489,163.933,176.824,190.465,204.491,216.92,229.443,242.103,280.796
Czechia,Eggs,Volume Change,Total,percent,Statista,,10.08,10.252,9.888,6.809,11.864,7.505,7.864,7.714,7.364,6.078,5.773,5.517,15.982
Czechia,Eggs,Average Volume per Capita in kilograms,Total,kilograms,Statista,9.035,9.937,10.937,11.994,12.781,14.266,15.308,16.488,17.739,19.03,20.174,21.33,22.503,26.1
Czechia,Eggs,... in 12-packs,Eggs,12-packs,Statista,12.549,13.801,15.191,16.658,17.751,19.813,21.261,22.9,24.638,26.43,28.02,29.625,31.254,36.249
Czechia,Eggs,... in 10-packs,Eggs,10-packs,Statista,15.059,16.561,18.229,19.99,21.301,23.776,25.513,27.48,29.566,31.716,33.624,35.55,37.505,43.499
Czechia,Eggs,... in 6-packs,Eggs,6-packs,Statista,25.098,27.601,30.381,33.316,35.502,39.627,42.522,45.799,49.276,52.86,56.039,59.251,62.508,72.499
Czechia,Cheese,Price per Unit,Average,USD (US$),Statista,7.51,6.212,6.147,6.427,6.889,6.545,6.637,7.348,8.007,8.191,8.355,8.522,8.692,8.866
Czechia,Cheese,Revenue,Total,billion USD (US$),Statista,0.825,0.715,0.746,0.821,0.904,0.926,0.957,1.091,1.224,1.288,1.355,1.421,1.493,1.643
Czechia,Cheese,Revenue Change,Total,percent,Statista,,-13.279,4.251,10.101,10.088,2.534,3.335,13.954,12.191,5.229,5.202,4.871,5.067,10.047
Czechia,Cheese,Average Revenue per Capita,Total,USD (US$),Statista,77.86,67.45,70.2,77.14,84.72,86.67,89.4,101.7,114,119.9,126,132.1,138.7,152.7
Czechia,Cheese,Online Revenue Share,Offline,percent,Statista,,,,99.842,99.819,99.794,99.738,99.706,99.67,99.63,99.583,99.529,,
Czechia,Cheese,Online Revenue Share,Online,percent,Statista,,,,0.158,0.181,0.206,0.262,0.294,0.33,0.37,0.417,0.471,,
Czechia,Cheese,Mobile/Desktop Split,Desktop,percent,Statista,,,,71.077,67.059,62.475,58.543,55.967,54.49,53.265,52.815,52.374,,
Czechia,Cheese,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Cheese,Volume,Total,million kilograms,Statista,109.799,115.123,121.265,127.716,131.167,141.558,144.236,148.464,152.901,157.274,162.136,166.718,171.721,185.267
Czechia,Cheese,Volume Change,Total,percent,Statista,,4.849,5.335,5.32,2.702,7.922,1.892,2.931,2.989,2.86,3.091,2.826,3.001,7.889
Czechia,Cheese,Average Volume per Capita,Total,kilograms,Statista,10.367,10.859,11.42,12.002,12.298,13.243,13.469,13.843,14.241,14.636,15.079,15.499,15.961,17.22
Czechia,Cheese,... in 250-gram packs,Cheese,250 g packs,Statista,41.469,43.437,45.679,48.009,49.192,52.972,53.875,55.374,56.964,58.543,60.316,61.996,63.844,68.881
Czechia,Cheese,... in 150-gram packs,Cheese,150 g packs,Statista,69.114,72.395,76.132,80.015,81.987,88.287,89.792,92.289,94.939,97.572,100.527,103.327,106.406,114.802
Czechia,Other Dairy Products & Eggs,Price per Unit,Average,USD (US$),Statista,3.197,2.624,2.579,2.679,2.856,2.7,2.711,2.978,3.245,3.32,3.386,3.454,3.523,3.594
Czechia,Other Dairy Products & Eggs,Revenue,Total,billion USD (US$),Statista,0.42,0.364,0.38,0.418,0.46,0.471,0.486,0.554,0.626,0.663,0.699,0.736,0.775,0.863
Czechia,Other Dairy Products & Eggs,Revenue Change,Total,percent,Statista,,-13.341,4.199,10.034,10.029,2.48,3.269,13.895,12.958,5.864,5.494,5.222,5.411,11.286
Czechia,Other Dairy Products & Eggs,Average Revenue per Capita,Total,USD (US$),Statista,39.7,34.38,35.76,39.27,43.1,44.07,45.43,51.67,58.3,61.66,65.01,68.38,72.06,80.2
Czechia,Other Dairy Products & Eggs,Online Revenue Share,Offline,percent,Statista,,,,99.842,99.819,99.794,99.738,99.706,99.67,99.63,99.583,99.529,,
Czechia,Other Dairy Products & Eggs,Online Revenue Share,Online,percent,Statista,,,,0.158,0.181,0.206,0.262,0.294,0.33,0.37,0.417,0.471,,
Czechia,Other Dairy Products & Eggs,Mobile/Desktop Split,Desktop,percent,Statista,,,,71.077,67.059,62.475,58.543,55.967,54.49,53.265,52.815,52.374,,
Czechia,Other Dairy Products & Eggs,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Other Dairy Products & Eggs,Volume,Total,million kilograms,Statista,131.538,138.908,147.257,155.972,160.988,174.499,179.456,186.051,192.879,199.594,206.424,212.943,220.067,240.102
Czechia,Other Dairy Products & Eggs,Volume Change,Total,percent,Statista,,5.603,6.011,5.918,3.216,8.393,2.841,3.675,3.67,3.482,3.422,3.158,3.345,9.104
Czechia,Other Dairy Products & Eggs,Average Volume per Capita,Total,kilograms,Statista,12.42,13.103,13.867,14.658,15.094,16.325,16.758,17.348,17.964,18.574,19.198,19.796,20.455,22.317
Czechia,Milk,Price per Unit,Average,USD (US$),Statista,0.867,0.723,0.722,0.761,0.824,0.79,0.798,0.883,0.962,0.984,1.004,1.024,1.044,1.065
Czechia,Milk,Revenue,Total,billion USD (US$),Statista,0.433,0.375,0.39,0.428,0.471,0.482,0.497,0.565,0.633,0.665,0.697,0.729,0.765,0.826
Czechia,Milk,Revenue Change,Total,percent,Statista,,-13.441,4.029,9.9,9.872,2.315,3.135,13.728,12.071,5.085,4.779,4.575,4.979,7.944
Czechia,Milk,Average Revenue per Capita,Total,USD (US$),Statista,40.89,35.35,36.72,40.27,44.14,45.07,46.39,52.68,58.98,61.92,64.84,67.78,71.15,76.79
Czechia,Milk,Online Revenue Share,Offline,percent,Statista,,,,99.842,99.819,99.794,99.738,99.706,99.67,99.63,99.583,99.529,,
Czechia,Milk,Online Revenue Share,Online,percent,Statista,,,,0.158,0.181,0.206,0.262,0.294,0.33,0.37,0.417,0.471,,
Czechia,Milk,Mobile/Desktop Split,Desktop,percent,Statista,,,,71.077,67.059,62.475,58.543,55.967,54.49,53.265,52.815,52.374,,
Czechia,Milk,Mobile/Desktop Split,Mobile,percent,Statista,,,,28.923,32.941,37.525,41.457,44.033,45.51,46.735,47.185,47.626,,
Czechia,Milk,Volume,Total,million kilograms,Statista,499.351,518.227,540.134,562.69,571.41,609.521,622.643,640.098,658.366,676.27,694.667,712.259,733.071,775.718
Czechia,Milk,Volume Change,Total,percent,Statista,,3.78,4.227,4.176,1.55,6.67,2.153,2.803,2.854,2.719,2.72,2.532,2.922,5.818
Czechia,Milk,Average Volume per Capita,Total,kilograms,Statista,47.148,48.883,50.865,52.879,53.575,57.022,58.142,59.685,61.319,62.933,64.606,66.215,68.137,72.102
